Data,Time,LabName,WaterTemp,pH,DissolveOxygen,TotalNitrogen,Phosphorus,TotalOrganicCarbons,Phenol,Cyan
20210410,0.875,안양천,19.2,6.9,4.9,8.48,0.305,5.7,0,0
20210410,0.875,선유,14.8,7.3,9.5,3.1,0.072,2.2,0,0
20210410,0.875,노량진,14.8,7.4,9.5,2.95,0.052,2.2,0,0
20210410,0.833333333,탄천,18.3,6.9,6.1,8.1,0.08,4.2,0,0
20210410,0.833333333,중랑천,18,7.4,8.7,5.8,0.14,4.5,0,0
20210410,0.833333333,안양천,20,6.9,4.8,8.64,0.29,5.9,0,0
20210410,0.833333333,선유,15.2,7.2,9.7,3.24,0.061,2.5,0,0
20210410,0.833333333,노량진,15.1,7.4,9.4,2.85,0.058,2.2,0,0
20210410,0.791666667,탄천,18.9,6.9,6.4,7.68,0.08,4.2,0,0
20210410,0.791666667,중랑천,18.1,7.3,9,5.8,0.14,4.3,0,0
20210410,0.791666667,안양천,20.8,6.9,5.1,8.65,0.285,5.9,0,0
20210410,0.791666667,선유,15.3,7.3,9.6,3.14,0.066,2.7,0,0
20210410,0.791666667,노량진,15.3,7.4,9.6,2.925,0.056,2.2,0,0
20210410,0.75,탄천,19.4,6.9,6.5,7.42,0.085,4.1,0,0
20210410,0.75,중랑천,18,7.3,9,5.9,0.14,4.4,0,0
20210410,0.75,안양천,21.3,6.9,4.7,8.61,0.255,5.6,0,0
20210410,0.75,선유,15.5,7.3,9.8,3.18,0.065,2.8,0,0
20210410,0.75,노량진,15.6,7.4,9.9,2.875,0.048,2.2,0,0
20210410,0.708333333,탄천,19.7,6.9,6.7,7.22,0.08,4.3,0,0
20210410,0.708333333,중랑천,17.7,7.3,8.8,5.9,0.14,4.3,0,0
20210410,0.708333333,안양천,21.7,6.9,5.1,8.74,0.22,5.5,0,0
20210410,0.708333333,선유,15.5,7.3,9.9,3.06,0.065,2.5,0,0
20210410,0.708333333,노량진,15.6,7.4,9.8,2.925,0.048,2.4,0,0
20210410,0.666666667,탄천,19.6,6.9,6.7,7.42,0.08,4.3,0,0
20210410,0.666666667,중랑천,17.2,7.3,8.5,5.9,0.14,4.6,0,0
20210410,0.666666667,안양천,21.5,6.9,5,8.81,0.22,5.5,0,0
20210410,0.666666667,선유,15.5,7.2,9.8,3.06,0.059,2.5,0,0
20210410,0.666666667,노량진,15.6,7.4,9.7,2.925,0.042,2.6,0,0
20210410,0.625,탄천,19,7,6.8,7.04,0.08,4,0,0
20210410,0.625,중랑천,16.7,7.3,8.4,5.9,0.14,4.2,0,0
20210410,0.625,안양천,20.8,6.9,5.1,9.05,0.175,5.7,0,0
20210410,0.625,선유,15.5,7.2,9.5,3.06,0.057,2.7,0,0
20210410,0.625,노량진,15.5,7.4,9.6,2.8,0.044,2.2,0,0
20210410,0.583333333,탄천,18.3,7,6.8,6.86,0.08,4,0,0
20210410,0.583333333,중랑천,16.1,7.2,8,5.8,0.14,4.2,0,0
20210410,0.583333333,안양천,19.7,6.9,5.2,9.38,0.16,5.5,0,0
20210410,0.583333333,선유,15.3,7.2,9.2,3.12,0.06,2.5,0,0
20210410,0.583333333,노량진,15.2,7.3,9.4,2.7,0.042,2.2,0,0
20210410,0.541666667,탄천,17.4,7,6.9,6.54,0.075,3.5,0,0
20210410,0.541666667,중랑천,15.7,7.2,7.8,5.8,0.14,4.2,0,0
20210410,0.541666667,안양천,18.2,6.9,5.5,9.46,0.16,5.6,0,0
20210410,0.541666667,선유,14.9,7.2,9,3.1,0.063,2.7,0,0
20210410,0.541666667,노량진,14.5,7.3,9.3,2.6,0.042,2.3,0,0
20210410,0.5,탄천,16.4,7,6.9,6.5,0.075,3.5,0,0
20210410,0.5,중랑천,15.3,7.2,7.4,5.8,0.14,4.7,0,0
20210410,0.5,안양천,16.7,7,5.7,9.47,0.14,5.5,0,0
20210410,0.5,선유,14.7,7.2,8.9,3.1,0.061,3.3,0,0
20210410,0.5,노량진,14.2,7.3,9.1,2.575,0.048,2.3,0,0
20210410,0.458333333,탄천,15.7,7,6.8,6.52,0.08,3.6,0,0
20210410,0.458333333,중랑천,15,7.2,7,5.8,0.14,4.2,0,0
20210410,0.458333333,안양천,15.3,7,5.7,9.36,0.15,5.5,0,0
20210410,0.458333333,선유,14.5,7.2,8.9,3.14,0.06,2.4,0,0
20210410,0.458333333,노량진,13.8,7.3,9,2.6,0.05,2.2,0,0
20210410,0.416666667,탄천,15.1,7,6.6,6.72,0.08,3.7,0,0
20210410,0.416666667,중랑천,14.9,7.2,6.7,5.9,0.14,4.2,0,0
20210410,0.416666667,안양천,14.5,6.9,5.4,9.66,0.135,5.5,0,0
20210410,0.416666667,선유,14.5,7.2,8.8,3.06,0.064,2.5,0,0
20210410,0.416666667,노량진,13.8,7.3,9.1,2.75,0.048,2.1,0,0
20210410,0.375,탄천,14.7,7,6.3,6.94,0.075,3.7,0,0
20210410,0.375,중랑천,15,7.2,6.5,5.9,0.14,4.4,0,0
20210410,0.375,안양천,14.1,6.9,5.4,9.68,0.135,5.5,0,0
20210410,0.375,선유,14.5,7.2,8.8,3.06,0.06,2.9,0,0
20210410,0.375,노량진,13.7,7.3,9,2.825,0.052,2.2,0,0
20210410,0.333333333,탄천,14.7,6.9,6,7.14,0.095,4,0,0
20210410,0.333333333,중랑천,15.2,7.2,6.4,5.9,0.14,4.4,0,0
20210410,0.333333333,안양천,14.1,6.9,5.3,9.54,0.135,5.5,0,0
20210410,0.333333333,선유,14.5,7.2,8.6,3.04,0.067,2.3,0,0
20210410,0.333333333,노량진,13.8,7.3,8.8,2.7,0.05,2,0,0
20210410,0.291666667,탄천,14.9,6.9,5.9,7.26,0.085,4.1,0,0
20210410,0.291666667,중랑천,15.6,7.2,6.3,5.9,0.14,4.3,0,0
